card_id,customer_id,card1,card2,card3,network,card5,card_type,home_region,home_country,n_txns,n_online,n_in_person,median_amt,p95_amt,max_amt,n_regions,n_products,top_products,first_seen,last_seen
C00001-K1,C00001,10859,399.0,150.0,american express,137.0,credit,126.0,87.0,2,2,0,124.97,147.51,150.02,1,1,R,2016-07-21 23:25:30,2016-07-22 13:29:56
C00002-K1,C00002,11708,111.0,150.0,visa,195.0,debit,315.0,87.0,1,1,0,249.91,249.91,249.91,1,1,R,2016-07-18 16:55:31,2016-07-18 16:55:31
C00003-K1,C00003,20184,555.0,150.0,visa,195.0,credit,225.0,87.0,1,1,0,199.95,199.95,199.95,1,1,R,2016-11-19 01:25:05,2016-11-19 01:25:05
C00004-K1,C00004,14056,512.0,150.0,mastercard,117.0,debit,191.0,87.0,1,1,0,300.02,300.02,300.02,1,1,H,2016-09-22 20:40:50,2016-09-22 20:40:50
C00005-K1,C00005,17978,555.0,162.0,visa,226.0,credit,"","",6,6,0,28.82,51.63,58.45,1,1,C,2016-07-05 20:58:59,2016-12-17 22:52:42
C00006-K1,C00006,21464,225.0,150.0,mastercard,224.0,debit,205.0,87.0,3,0,3,59.04,111.22,117.02,1,1,W,2016-08-20 04:17:11,2016-12-23 20:13:07
C00007-K1,C00007,15316,555.0,150.0,visa,226.0,debit,327.0,87.0,1,1,0,69.95,69.95,69.95,1,1,H,2016-12-13 20:59:49,2016-12-13 20:59:49
C00008-K1,C00008,10583,"","","","","",441.0,87.0,1,0,1,107.93,107.93,107.93,1,1,W,2016-09-30 15:20:38,2016-09-30 15:20:38
C00008-K2,C00008,10583,111.0,150.0,mastercard,224.0,debit,126.0,87.0,52,6,46,56.93,190.22,663.99,6,3,R|W|H,2016-07-09 23:46:28,2016-12-30 20:23:10
C00009-K1,C00009,17267,555.0,150.0,visa,226.0,debit,204.0,87.0,1,0,1,140.91,140.91,140.91,1,1,W,2016-12-07 17:48:08,2016-12-07 17:48:08
C00010-K1,C00010,15641,555.0,150.0,visa,226.0,debit,269.0,87.0,2,0,2,42.27,56.38,57.95,1,1,W,2016-07-29 17:11:03,2016-08-14 22:23:11
C00011-K1,C00011,16584,390.0,150.0,mastercard,224.0,debit,143.0,87.0,3,0,3,107.9,107.9,107.9,1,1,W,2016-10-29 04:10:28,2016-12-03 22:10:53
C00012-K1,C00012,13486,555.0,150.0,visa,226.0,debit,264.0,87.0,3,0,3,48.94,102.04,107.94,1,1,W,2016-07-16 17:52:41,2016-09-16 22:13:58
C00013-K1,C00013,19046,555.0,144.0,mastercard,141.0,credit,"","",1,1,0,140.4,140.4,140.4,1,1,C,2016-11-08 15:49:55,2016-11-08 15:49:55
C00014-K1,C00014,12342,215.0,150.0,visa,226.0,debit,191.0,87.0,1,0,1,25.92,25.92,25.92,1,1,W,2016-12-11 20:42:55,2016-12-11 20:42:55
C00015-K1,C00015,17172,480.0,150.0,mastercard,117.0,debit,123.0,87.0,2,1,1,86.02,98.67,100.08,1,2,W|H,2016-07-16 16:29:02,2016-11-07 15:10:24
C00016-K1,C00016,11923,390.0,150.0,mastercard,224.0,debit,433.0,87.0,3,1,2,300.04,924.69,994.09,1,2,R|W,2016-07-27 16:37:43,2016-12-04 12:47:53
C00017-K1,C00017,12627,390.0,150.0,mastercard,224.0,debit,436.0,87.0,5,0,5,29.02,99.34,116.91,2,1,W,2016-07-18 04:46:09,2016-12-27 23:38:29
C00018-K1,C00018,15017,555.0,102.0,mastercard,224.0,debit,"","",3,3,0,56.0,65.35,66.39,1,1,C,2016-08-06 11:56:26,2016-11-06 16:17:27
C00019-K1,C00019,13022,555.0,150.0,mastercard,117.0,debit,194.0,87.0,15,8,7,75.01,182.68,210.02,4,3,R|H|W,2016-07-09 21:48:40,2016-12-17 18:20:26
C00020-K1,C00020,20865,555.0,150.0,visa,226.0,debit,330.0,87.0,34,0,34,76.97,117.04,117.05,1,1,W,2016-07-16 16:55:11,2016-12-28 22:38:43
C00021-K1,C00021,14680,555.0,150.0,visa,226.0,debit,126.0,87.0,2,0,2,122.01,166.04,170.93,1,1,W,2016-09-15 17:11:28,2016-09-22 22:18:43
C00022-K1,C00022,15055,216.0,150.0,visa,226.0,credit,325.0,87.0,13,0,13,59.01,225.96,226.04,7,1,W,2016-07-18 00:03:16,2016-11-09 06:30:16
C00023-K1,C00023,11791,555.0,150.0,visa,226.0,debit,343.0,87.0,3,0,3,91.94,510.04,556.49,1,1,W,2016-10-10 21:42:53,2016-12-26 17:05:28
C00024-K1,C00024,23250,"",150.0,visa,226.0,credit,325.0,87.0,2,0,2,697.44,1010.13,1044.87,2,1,W,2016-08-12 14:58:34,2016-08-21 23:53:51
C00025-K1,C00025,11373,321.0,150.0,visa,226.0,debit,512.0,87.0,12,3,9,68.16,160.65,213.91,2,3,S|W|C,2016-07-11 16:03:55,2016-12-22 23:14:54
C00026-K1,C00026,23113,555.0,146.0,visa,226.0,credit,"","",4,4,0,20.76,56.08,62.3,1,1,C,2016-08-01 19:40:54,2016-08-01 19:50:39
C00027-K1,C00027,22934,438.0,106.0,visa,137.0,credit,"","",6,6,0,54.72,96.03,102.37,1,1,C,2016-08-16 22:31:25,2016-12-18 01:58:05
C00028-K1,C00028,20791,420.0,150.0,mastercard,224.0,debit,264.0,87.0,1,0,1,824.02,824.02,824.02,1,1,W,2016-11-22 21:22:00,2016-11-22 21:22:00
C00029-K1,C00029,10731,310.0,150.0,mastercard,224.0,debit,126.0,87.0,16,0,16,67.9,160.79,225.93,1,1,W,2016-09-29 19:22:21,2016-12-31 17:06:10
C00030-K1,C00030,22130,593.0,150.0,visa,195.0,debit,444.0,87.0,1,0,1,170.94,170.94,170.94,1,1,W,2016-10-22 18:49:41,2016-10-22 18:49:41
C00031-K1,C00031,20493,181.0,150.0,visa,162.0,credit,226.0,87.0,22,6,16,100.04,441.28,499.92,5,3,R|W|H,2016-07-13 17:26:25,2016-12-29 14:24:01
C00032-K1,C00032,22415,490.0,150.0,visa,226.0,debit,315.0,87.0,2,2,0,175.05,287.56,300.06,2,2,R|H,2016-08-19 15:48:47,2016-08-20 21:45:29
C00033-K1,C00033,13587,555.0,102.0,visa,138.0,debit,"","",3,3,0,17.17,71.69,77.75,1,1,C,2016-07-27 01:47:07,2016-07-31 14:26:38
C00034-K1,C00034,12685,555.0,150.0,visa,226.0,debit,231.0,87.0,52,2,50,56.06,250.38,554.01,1,2,W|H,2016-07-07 16:01:54,2016-12-30 18:24:07
C00035-K1,C00035,20071,555.0,150.0,visa,226.0,debit,337.0,87.0,23,2,21,39.06,116.13,213.08,3,3,S|W|C,2016-07-29 18:29:14,2016-12-13 02:02:45
C00036-K1,C00036,11005,488.0,117.0,mastercard,224.0,credit,"","",3,3,0,14.9,57.98,62.77,1,1,C,2016-07-21 09:13:39,2016-12-10 17:34:12
C00037-K1,C00037,17510,321.0,150.0,visa,226.0,debit,494.0,87.0,19,1,18,57.9,609.07,1103.97,3,2,W|R,2016-07-06 12:23:21,2016-12-22 17:01:33
C00038-K1,C00038,16123,390.0,150.0,mastercard,224.0,debit,143.0,87.0,16,0,16,49.02,130.55,170.95,2,1,W,2016-08-11 16:22:32,2016-12-28 13:49:39
C00039-K1,C00039,20516,555.0,150.0,visa,226.0,debit,441.0,87.0,1,0,1,23.91,23.91,23.91,1,1,W,2016-08-27 00:17:52,2016-08-27 00:17:52
C00040-K1,C00040,19058,555.0,150.0,visa,226.0,debit,299.0,87.0,2,0,2,529.28,915.7,958.63,2,1,W,2016-07-05 19:58:33,2016-08-03 20:10:27
C00041-K1,C00041,11340,555.0,144.0,mastercard,126.0,debit,220.0,87.0,1,0,1,49.08,49.08,49.08,1,1,W,2016-12-09 04:12:23,2016-12-09 04:12:23
C00042-K1,C00042,12285,369.0,150.0,mastercard,224.0,debit,299.0,87.0,3,0,3,108.91,109.0,109.01,1,1,W,2016-07-28 03:40:23,2016-11-22 04:17:46
C00043-K1,C00043,14045,555.0,150.0,visa,226.0,debit,299.0,87.0,4,3,1,100.07,106.74,107.92,1,2,W|R,2016-07-26 17:36:26,2016-08-07 16:03:28
C00044-K1,C00044,18404,555.0,150.0,mastercard,117.0,debit,264.0,87.0,15,1,14,75.01,237.02,262.94,1,2,W|H,2016-07-18 03:18:36,2016-12-31 20:49:11
C00045-K1,C00045,21537,545.0,185.0,visa,226.0,credit,"","",22,22,0,37.19,81.31,81.62,1,1,C,2016-07-03 21:13:34,2016-12-28 17:40:04
C00046-K1,C00046,17735,555.0,150.0,visa,226.0,debit,325.0,87.0,3,0,3,117.06,156.08,160.42,1,1,W,2016-10-28 17:58:53,2016-11-05 13:14:23
C00047-K1,C00047,12344,555.0,144.0,mastercard,224.0,credit,536.0,96.0,2,2,0,39.81,48.65,49.63,2,2,H|C,2016-08-01 01:56:50,2016-08-10 04:04:24
C00048-K1,C00048,16271,555.0,197.0,mastercard,224.0,credit,527.0,71.0,1,1,0,22.07,22.07,22.07,1,1,C,2016-07-11 20:12:47,2016-07-11 20:12:47
C00049-K1,C00049,20308,512.0,150.0,mastercard,224.0,debit,177.0,87.0,1,1,0,100.01,100.01,100.01,1,1,R,2016-07-13 02:19:57,2016-07-13 02:19:57
C00050-K1,C00050,18770,485.0,150.0,mastercard,166.0,debit,264.0,87.0,93,0,93,58.97,773.91,1104.04,15,1,W,2016-07-04 21:42:28,2016-12-18 18:40:31
C00051-K1,C00051,18038,481.0,150.0,mastercard,102.0,credit,191.0,87.0,42,7,35,97.41,1266.41,1824.04,16,3,R|W|H,2016-07-02 16:05:54,2016-12-29 22:01:35
C00052-K1,C00052,18943,543.0,150.0,mastercard,224.0,debit,384.0,87.0,2,1,1,180.0,206.93,209.92,2,2,R|W,2016-07-21 22:44:27,2016-12-19 14:02:54
C00053-K1,C00053,19448,555.0,150.0,mastercard,195.0,debit,204.0,87.0,1,0,1,675.7,675.7,675.7,1,1,W,2016-11-09 12:58:57,2016-11-09 12:58:57
C00054-K1,C00054,17561,480.0,150.0,mastercard,224.0,debit,315.0,87.0,1,0,1,35.87,35.87,35.87,1,1,W,2016-07-17 17:55:44,2016-07-17 17:55:44
C00055-K1,C00055,22636,517.0,150.0,mastercard,224.0,debit,181.0,87.0,2,1,1,91.68,106.74,108.41,1,2,R|W,2016-07-28 12:49:49,2016-10-13 20:35:35
C00056-K1,C00056,18079,363.0,150.0,visa,226.0,debit,485.0,87.0,32,0,32,114.46,402.4,439.99,2,1,W,2016-07-21 18:52:53,2016-12-29 03:17:44
C00057-K1,C00057,15385,"","","","","",494.0,87.0,1,0,1,107.94,107.94,107.94,1,1,W,2016-12-09 01:45:47,2016-12-09 01:45:47
C00057-K2,C00057,15385,555.0,150.0,visa,226.0,debit,494.0,87.0,45,0,45,108.44,210.04,1909.98,3,1,W,2016-07-06 00:15:00,2016-12-28 16:20:43
C00058-K1,C00058,15349,555.0,213.0,visa,200.0,debit,187.0,88.0,1,1,0,101.39,101.39,101.39,1,1,C,2016-07-14 22:03:11,2016-07-14 22:03:11
C00059-K1,C00059,21826,"","","","","",264.0,87.0,2,0,2,67.93,76.97,77.98,1,1,W,2016-09-28 16:35:22,2016-12-07 02:22:51
