customer_id,n_cards,n_txns,first_seen,last_seen
C00001,1,2,2016-07-21 23:25:30,2016-07-22 13:29:56
C00002,1,1,2016-07-18 16:55:31,2016-07-18 16:55:31
C00003,1,1,2016-11-19 01:25:05,2016-11-19 01:25:05
C00004,1,1,2016-09-22 20:40:50,2016-09-22 20:40:50
C00005,1,6,2016-07-05 20:58:59,2016-12-17 22:52:42
C00006,1,3,2016-08-20 04:17:11,2016-12-23 20:13:07
C00007,1,1,2016-12-13 20:59:49,2016-12-13 20:59:49
C00008,2,53,2016-07-09 23:46:28,2016-12-30 20:23:10
C00009,1,1,2016-12-07 17:48:08,2016-12-07 17:48:08
C00010,1,2,2016-07-29 17:11:03,2016-08-14 22:23:11
C00011,1,3,2016-10-29 04:10:28,2016-12-03 22:10:53
C00012,1,3,2016-07-16 17:52:41,2016-09-16 22:13:58
C00013,1,1,2016-11-08 15:49:55,2016-11-08 15:49:55
C00014,1,1,2016-12-11 20:42:55,2016-12-11 20:42:55
C00015,1,2,2016-07-16 16:29:02,2016-11-07 15:10:24
C00016,1,3,2016-07-27 16:37:43,2016-12-04 12:47:53
C00017,1,5,2016-07-18 04:46:09,2016-12-27 23:38:29
C00018,1,3,2016-08-06 11:56:26,2016-11-06 16:17:27
C00019,1,15,2016-07-09 21:48:40,2016-12-17 18:20:26
C00020,1,34,2016-07-16 16:55:11,2016-12-28 22:38:43
C00021,1,2,2016-09-15 17:11:28,2016-09-22 22:18:43
C00022,1,13,2016-07-18 00:03:16,2016-11-09 06:30:16
C00023,1,3,2016-10-10 21:42:53,2016-12-26 17:05:28
C00024,1,2,2016-08-12 14:58:34,2016-08-21 23:53:51
C00025,1,12,2016-07-11 16:03:55,2016-12-22 23:14:54
C00026,1,4,2016-08-01 19:40:54,2016-08-01 19:50:39
C00027,1,6,2016-08-16 22:31:25,2016-12-18 01:58:05
C00028,1,1,2016-11-22 21:22:00,2016-11-22 21:22:00
C00029,1,16,2016-09-29 19:22:21,2016-12-31 17:06:10
C00030,1,1,2016-10-22 18:49:41,2016-10-22 18:49:41
C00031,1,22,2016-07-13 17:26:25,2016-12-29 14:24:01
C00032,1,2,2016-08-19 15:48:47,2016-08-20 21:45:29
C00033,1,3,2016-07-27 01:47:07,2016-07-31 14:26:38
C00034,1,52,2016-07-07 16:01:54,2016-12-30 18:24:07
C00035,1,23,2016-07-29 18:29:14,2016-12-13 02:02:45
C00036,1,3,2016-07-21 09:13:39,2016-12-10 17:34:12
