device_key,label,device_info,device_type,os,browser,screen,n_txns,n_cards,n_customers
Dc7bc1c5be788,Windows | Windows 10 | chrome 63.0 | 1920x1080,Windows,desktop,Windows 10,chrome 63.0,1920x1080,2566,842,842
D00c7ccad07a7,mobile safari generic,"",mobile,"",mobile safari generic,"",4964,711,697
D72a7cabad3ae,Windows | chrome 63.0,Windows,desktop,"",chrome 63.0,"",6353,629,627
D930039399fd5,mobile safari 11.0,"",mobile,"",mobile safari 11.0,"",3244,609,600
D714c9a040114,Windows | Windows 7 | chrome 63.0 | 1920x1080,Windows,desktop,Windows 7,chrome 63.0,1920x1080,1421,585,585
Dbee4bc39399e,Windows | Windows 10 | chrome 63.0 | 1366x768,Windows,desktop,Windows 10,chrome 63.0,1366x768,1390,546,546
D4936ab359677,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1920x1080,1220,543,543
Dcbe52ef4f952,rv:11.0 | ie 11.0 for desktop,rv:11.0,desktop,"",ie 11.0 for desktop,"",1255,480,480
D3f0167d17f43,chrome 63.0,"",desktop,"",chrome 63.0,"",3137,439,436
Dbd5bc590f261,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,1334x750,1084,426,426
Dd3f2fdadcbd9,safari generic,"",desktop,"",safari generic,"",1407,418,415
Dee644c93fbe0,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,1334x750,1073,418,418
Dc7d5a00f6045,Windows | Windows 10 | edge 16.0 | 1920x1080,Windows,desktop,Windows 10,edge 16.0,1920x1080,860,394,394
D79f18bfebb0b,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,2208x1242,871,374,374
D243ea8c6d280,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2208x1242,822,361,361
Da33e40a1ff71,Windows | chrome 64.0,Windows,desktop,"",chrome 64.0,"",2840,357,351
Ddfede8446955,Windows | Windows 10 | chrome 62.0 | 1920x1080,Windows,desktop,Windows 10,chrome 62.0,1920x1080,811,354,354
Dc19ad9f05a3a,Trident/7.0 | Windows 7 | ie 11.0 for desktop,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,"",707,347,347
D36f291255147,Windows | chrome 65.0,Windows,desktop,"",chrome 65.0,"",2525,321,318
Defebfb667ff6,Windows | Windows 10 | chrome 65.0 | 1920x1080,Windows,desktop,Windows 10,chrome 65.0,1920x1080,621,299,299
Df1518d5c1dad,Windows | Windows 7 | chrome 63.0 | 1366x768,Windows,desktop,Windows 7,chrome 63.0,1366x768,549,287,287
D796bc0ec0226,chrome 64.0,"",desktop,"",chrome 64.0,"",1290,272,265
D5b92afa0ae36,Windows | chrome 66.0,Windows,desktop,"",chrome 66.0,"",1531,266,253
Db83ac2bf4a79,Windows | Windows 10 | edge 16.0,Windows,desktop,Windows 10,edge 16.0,"",586,258,258
D270ce13758c4,Windows | Windows 10 | chrome 63.0 | 1600x900,Windows,desktop,Windows 10,chrome 63.0,1600x900,545,256,256
D052dae2f461a,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1920x1080,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,1920x1080,462,253,253
Ddc257820ccd6,Windows | Windows 10 | chrome 62.0 | 1366x768,Windows,desktop,Windows 10,chrome 62.0,1366x768,466,245,245
De03c15b83a22,Trident/7.0 | ie 11.0 for desktop,Trident/7.0,desktop,"",ie 11.0 for desktop,"",1215,244,244
D3b9c0815e353,Windows | Windows 7 | chrome 63.0 | 1600x900,Windows,desktop,Windows 7,chrome 63.0,1600x900,440,235,235
D74206db27219,chrome 65.0,"",desktop,"",chrome 65.0,"",1285,232,230
D9c3a87108b34,Windows | chrome 62.0,Windows,desktop,"",chrome 62.0,"",1424,228,227
Dd215d148447b,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2048x1536,472,227,227
