domain,n_txns
aim.com,351
anonymous.com,57572
aol.com,32000
att.net,4463
bellsouth.net,2342
cableone.net,186
centurylink.net,217
cfl.rr.com,209
charter.net,943
comcast.net,9700
cox.net,1852
earthlink.net,593
embarqmail.com,329
frontier.com,332
frontiernet.net,209
gmail,593
gmail.com,285661
gmx.de,298
hotmail.co.uk,217
hotmail.com,72781
hotmail.de,85
hotmail.es,597
hotmail.fr,588
icloud.com,7671
juno.com,375
live.com,3803
live.com.mx,1503
live.fr,111
mac.com,654
mail.com,681
me.com,2078
msn.com,4954
netzero.com,244
netzero.net,205
optonline.net,1198
outlook.com,7606
outlook.es,871
prodigy.net.mx,414
protonmail.com,117
ptd.net,95
q.com,214
roadrunner.com,358
rocketmail.com,735
sbcglobal.net,3527
sc.rr.com,172
scranton.edu,63
servicios-ta.com,70
suddenlink.net,200
twc.com,259
verizon.net,3325
web.de,481
windstream.net,352
yahoo.co.jp,65
yahoo.co.uk,88
yahoo.com,112832
yahoo.com.mx,3053
yahoo.de,149
yahoo.es,191
yahoo.fr,280
ymail.com,2603
