region,country,n_txns,n_cards
100.0,31.0,26,13
101.0,14.0,1,1
102.0,96.0,13,4
104.0,87.0,8,6
105.0,87.0,3,3
106.0,87.0,20,15
110.0,87.0,3223,384
111.0,22.0,2,1
112.0,29.0,2,1
113.0,87.0,1,1
117.0,101.0,1,1
119.0,32.0,3,2
120.0,96.0,1,1
122.0,87.0,1617,160
123.0,87.0,16110,1050
124.0,60.0,1,1
125.0,87.0,4,2
126.0,87.0,15249,1048
127.0,87.0,1,1
128.0,87.0,1,1
129.0,32.0,1,1
130.0,60.0,342,64
131.0,101.0,1,1
132.0,65.0,1,1
133.0,87.0,1,1
134.0,87.0,11,8
137.0,71.0,1,1
139.0,65.0,1,1
141.0,88.0,2,2
142.0,87.0,16,10
143.0,87.0,9810,821
144.0,87.0,3,2
145.0,32.0,3,1
146.0,60.0,2,2
148.0,60.0,96,32
151.0,27.0,1,1
152.0,16.0,7,4
153.0,96.0,1,1
154.0,32.0,13,8
155.0,60.0,18,13
156.0,87.0,1,1
157.0,87.0,170,38
158.0,87.0,1562,188
159.0,87.0,5,5
160.0,87.0,2,2
161.0,60.0,422,62
162.0,71.0,1,1
163.0,31.0,1,1
164.0,15.0,1,1
166.0,87.0,1,1
167.0,60.0,57,27
168.0,87.0,3,1
170.0,87.0,2003,302
171.0,96.0,12,8
172.0,31.0,3,2
174.0,87.0,2,2
177.0,87.0,4674,587
178.0,87.0,1,1
180.0,87.0,1,1
181.0,87.0,13863,1099
182.0,73.0,1,1
183.0,26.0,1,1
184.0,87.0,15168,1041
185.0,59.0,1,1
187.0,88.0,1,1
189.0,65.0,1,1
190.0,26.0,1,1
191.0,87.0,14990,1033
193.0,87.0,3,3
194.0,87.0,1572,247
195.0,18.0,1,1
196.0,87.0,1,1
198.0,87.0,3,2
199.0,87.0,13,5
200.0,26.0,1,1
201.0,87.0,3,3
202.0,87.0,5,5
203.0,87.0,3811,394
204.0,87.0,42035,2006
205.0,87.0,5725,586
206.0,87.0,1,1
208.0,87.0,2,2
210.0,60.0,7,5
211.0,24.0,1,1
213.0,60.0,1,1
214.0,26.0,2,1
215.0,87.0,2,1
216.0,60.0,54,26
217.0,32.0,1,1
218.0,32.0,6,1
219.0,16.0,1,1
220.0,87.0,5041,476
221.0,65.0,8,6
223.0,87.0,1,1
224.0,87.0,2,2
225.0,87.0,5325,632
226.0,87.0,4869,569
227.0,87.0,1,1
231.0,87.0,7606,614
232.0,87.0,1,1
233.0,101.0,1,1
234.0,87.0,1,1
235.0,31.0,1,1
236.0,96.0,3,3
237.0,87.0,1,1
238.0,60.0,1,1
239.0,60.0,31,22
241.0,96.0,1,1
242.0,60.0,84,28
243.0,60.0,1,1
244.0,59.0,1,1
245.0,87.0,1,1
247.0,87.0,7,6
248.0,31.0,1,1
249.0,60.0,1,1
250.0,87.0,3,3
251.0,87.0,5220,501
252.0,60.0,2,2
253.0,87.0,1058,194
254.0,87.0,68,25
255.0,87.0,1,1
257.0,60.0,1,1
258.0,60.0,38,22
259.0,87.0,3,1
260.0,87.0,6,6
261.0,16.0,1,1
262.0,24.0,1,1
264.0,87.0,39876,1946
265.0,87.0,4,3
268.0,87.0,1,1
269.0,87.0,6404,640
270.0,59.0,3,2
272.0,87.0,20143,1308
274.0,87.0,2,2
275.0,87.0,18,16
276.0,87.0,5,2
277.0,87.0,3,3
278.0,87.0,1,1
279.0,60.0,1,1
280.0,83.0,1,1
282.0,87.0,1,1
283.0,24.0,1,1
284.0,60.0,775,120
286.0,87.0,2,2
290.0,60.0,2,2
292.0,30.0,1,1
294.0,87.0,3,1
295.0,87.0,4,1
296.0,65.0,367,198
297.0,87.0,8,6
298.0,60.0,1,1
299.0,87.0,46339,2075
300.0,87.0,6,2
301.0,87.0,3,3
302.0,60.0,1,1
303.0,40.0,2,1
304.0,60.0,2,1
305.0,60.0,9,4
306.0,31.0,1,1
307.0,16.0,4,1
308.0,87.0,1283,203
309.0,87.0,1,1
310.0,87.0,8486,691
312.0,13.0,1,1
313.0,87.0,1,1
314.0,96.0,3,2
315.0,87.0,23086,1386
316.0,87.0,1,1
318.0,87.0,1,1
321.0,87.0,2,1
322.0,87.0,3,3
323.0,102.0,1,1
324.0,87.0,2173,274
325.0,87.0,42753,1719
326.0,59.0,1,1
327.0,87.0,8438,829
328.0,87.0,1,1
329.0,87.0,1,1
330.0,87.0,26303,1452
331.0,31.0,1,1
332.0,60.0,19,14
333.0,16.0,1,1
335.0,43.0,1,1
337.0,87.0,15150,1144
338.0,60.0,1,1
339.0,60.0,2,2
340.0,87.0,1,1
341.0,16.0,3,2
343.0,87.0,1734,243
345.0,26.0,4,1
346.0,60.0,10,9
347.0,98.0,1,1
348.0,96.0,87,40
349.0,96.0,5,3
351.0,96.0,2,1
352.0,59.0,1,1
353.0,87.0,1,1
356.0,96.0,91,47
358.0,87.0,1,1
359.0,60.0,18,13
360.0,21.0,4,1
361.0,87.0,1,1
365.0,60.0,1,1
366.0,60.0,7,3
368.0,87.0,1,1
369.0,87.0,3,2
371.0,26.0,8,5
372.0,72.0,2,1
373.0,87.0,2,2
374.0,60.0,14,12
375.0,60.0,22,15
376.0,87.0,1,1
377.0,87.0,1,1
379.0,87.0,2,2
381.0,87.0,2,2
382.0,31.0,1,1
384.0,87.0,1671,265
385.0,96.0,4,3
386.0,72.0,1,1
387.0,87.0,8188,802
389.0,21.0,1,1
390.0,87.0,1,1
391.0,60.0,35,19
393.0,60.0,10,9
395.0,32.0,1,1
396.0,87.0,2,2
397.0,87.0,1,1
399.0,60.0,5,4
400.0,87.0,1,1
401.0,60.0,1,1
402.0,66.0,1,1
403.0,19.0,3,2
404.0,87.0,8,6
406.0,60.0,2,2
408.0,96.0,5,3
409.0,87.0,9,7
410.0,87.0,43,15
411.0,60.0,14,7
416.0,16.0,1,1
417.0,87.0,1,1
418.0,87.0,101,42
420.0,87.0,3589,442
425.0,16.0,1,1
426.0,96.0,32,19
427.0,60.0,1,1
428.0,87.0,1429,235
429.0,87.0,3,3
430.0,13.0,5,2
431.0,60.0,38,14
432.0,96.0,38,23
433.0,87.0,7831,723
434.0,25.0,1,1
435.0,87.0,11,7
436.0,87.0,3172,473
439.0,60.0,2,2
441.0,87.0,20834,1155
443.0,60.0,23,8
444.0,87.0,2033,303
445.0,87.0,6,5
446.0,60.0,1,1
448.0,87.0,925,167
450.0,60.0,1,1
451.0,13.0,1,1
452.0,60.0,8,4
453.0,60.0,21,14
454.0,69.0,2,2
456.0,31.0,3,1
457.0,19.0,1,1
458.0,87.0,1,1
459.0,87.0,7,1
462.0,59.0,1,1
463.0,87.0,1,1
464.0,16.0,1,1
465.0,60.0,503,101
466.0,60.0,2,2
467.0,65.0,1,1
468.0,59.0,2,1
469.0,87.0,2940,474
470.0,78.0,2,2
471.0,60.0,2,2
472.0,87.0,8480,793
474.0,102.0,4,1
476.0,87.0,9480,771
477.0,19.0,3,2
478.0,87.0,9,6
479.0,96.0,13,9
481.0,87.0,1,1
482.0,16.0,6,2
483.0,60.0,23,13
485.0,87.0,6816,501
486.0,60.0,54,23
488.0,26.0,1,1
489.0,31.0,1,1
491.0,87.0,7,5
492.0,87.0,987,159
493.0,32.0,1,1
494.0,87.0,5065,373
496.0,60.0,7,6
498.0,87.0,4744,507
499.0,87.0,26,12
500.0,16.0,2,2
501.0,60.0,4,3
502.0,87.0,837,95
503.0,87.0,1,1
504.0,16.0,10,7
505.0,16.0,1,1
506.0,66.0,1,1
507.0,60.0,4,2
508.0,60.0,70,25
509.0,87.0,3,2
511.0,60.0,157,48
512.0,87.0,8268,685
513.0,26.0,2,1
514.0,87.0,3,1
515.0,96.0,2,2
516.0,19.0,1,1
517.0,87.0,2,2
518.0,72.0,2,1
519.0,87.0,1,1
520.0,60.0,26,9
521.0,96.0,6,3
522.0,87.0,1,1
523.0,60.0,3,2
526.0,65.0,1,1
527.0,71.0,4,3
528.0,88.0,2,2
529.0,60.0,7,5
530.0,60.0,1,1
531.0,102.0,1,1
535.0,87.0,2,2
536.0,96.0,310,85
540.0,60.0,6,6
